what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968555604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968590448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506968596642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968598209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968607346
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506968612891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968614032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968639084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506968671260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968673586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968683576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506968687467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968688713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968703538
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506968706695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968719389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968766158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506968978079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968980316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506968990401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506969020971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969022210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969033053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969042338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969046897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506969049610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969052794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969071101
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506969108329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969113924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969124205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506969138301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969139445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969144502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506969148534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969149494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969168946
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1506969177143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506969307823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969309034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969345400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969622451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506969627958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506970145740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506970149945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506970158132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506970196897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506970199702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506970214738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506970239325
